,house_age,dormitory_type,condition_type
119,new_house,house,regular
120,new_house,house,regular
121,old_house,house,regular
122,new_house,apartment,regular
123,old_house,house,good
124,old_house,house,regular
125,new_house,house,regular
126,old_house,house,regular
127,old_house,house,regular
128,old_house,house,good
129,new_house,house,regular
130,new_house,house,regular
131,new_house,house,regular
132,old_house,house,regular
133,old_house,house,regular
134,new_house,house,regular
135,old_house,house,regular
136,old_house,house,regular
137,old_house,house,regular
138,old_house,apartment,regular
139,old_house,house,regular
140,old_house,apartment,regular
141,old_house,house,regular
142,new_house,house,regular
143,new_house,house,regular
144,new_house,house,regular
145,old_house,house,regular
146,old_house,house,regular
147,old_house,apartment,regular
148,old_house,house,regular
149,old_house,house,regular
150,old_house,house,regular
151,new_house,house,regular
152,new_house,house,regular
153,new_house,house,regular
154,old_house,studio,regular
155,old_house,house,regular
156,old_house,house,regular
157,old_house,house,regular
158,old_house,house,regular
159,old_house,house,regular
160,old_house,house,regular
161,new_house,house,regular
162,new_house,house,regular
163,old_house,house,regular
164,old_house,house,regular
165,old_house,house,regular
166,new_house,apartment,good
167,new_house,house,regular
168,old_house,house,regular
169,old_house,house,good
170,new_house,house,regular
171,new_house,house,regular
172,old_house,house,regular
173,new_house,house,regular
174,old_house,house,regular
175,new_house,house,regular
176,old_house,house,regular
177,old_house,house,regular
178,old_house,house,regular
179,new_house,apartment,regular
180,old_house,house,regular
181,new_house,house,regular
182,old_house,house,good
183,old_house,apartment,regular
184,old_house,house,regular
185,old_house,house,regular
186,new_house,house,regular
187,old_house,house,regular
188,new_house,house,regular
189,old_house,house,regular
190,old_house,house,regular
191,old_house,house,regular
192,old_house,house,regular
193,old_house,house,regular
194,old_house,house,regular
195,old_house,house,regular
196,old_house,house,good
197,old_house,house,regular
198,new_house,house,regular
199,old_house,house,regular
200,new_house,house,regular
201,old_house,house,regular
202,old_house,house,regular
203,old_house,house,regular
204,new_house,house,regular
205,old_house,house,regular
206,old_house,house,regular
207,new_house,house,regular
208,old_house,apartment,regular
209,old_house,house,regular
210,new_house,house,regular
211,old_house,house,regular
212,old_house,house,regular
213,new_house,house,regular
214,old_house,house,regular
215,new_house,apartment,regular
216,new_house,house,regular
217,old_house,house,regular
218,old_house,apartment,regular
219,old_house,apartment,regular
220,old_house,house,regular
221,old_house,house,regular
222,old_house,house,regular
223,old_house,house,regular
224,old_house,house,regular
225,old_house,house,good
226,new_house,apartment,regular
227,old_house,house,regular
228,new_house,house,regular
229,new_house,house,regular
230,new_house,apartment,regular
231,old_house,house,good
232,old_house,house,regular
233,old_house,apartment,regular
234,old_house,house,good
235,old_house,house,regular
236,new_house,house,good
237,new_house,house,regular
238,old_house,house,regular
239,old_house,house,regular
240,old_house,house,regular
241,old_house,apartment,regular
242,new_house,apartment,bad
243,new_house,house,regular
244,old_house,apartment,regular
245,new_house,house,regular
246,old_house,house,regular
247,new_house,apartment,regular
248,new_house,house,regular
249,new_house,house,regular
250,old_house,house,regular
251,old_house,house,regular
252,new_house,house,regular
253,new_house,house,regular
254,old_house,house,regular
255,old_house,apartment,good
256,old_house,house,regular
257,new_house,house,regular
258,old_house,house,regular
259,old_house,house,regular
260,old_house,house,regular
261,old_house,house,regular
262,old_house,house,regular
263,new_house,apartment,regular
264,old_house,studio,good
265,old_house,house,regular
266,old_house,house,regular
267,old_house,apartment,regular
268,new_house,house,regular
269,new_house,house,regular
270,old_house,house,regular
271,new_house,apartment,regular
272,old_house,house,regular
273,old_house,house,regular
274,old_house,house,regular
275,new_house,house,regular
276,new_house,house,good
277,old_house,house,regular
278,new_house,house,regular
279,new_house,house,regular
280,old_house,house,regular
281,new_house,apartment,regular
282,new_house,house,good
283,old_house,house,regular
284,new_house,house,regular
285,old_house,house,regular
286,old_house,house,regular
287,new_house,house,regular
288,old_house,house,regular
289,old_house,apartment,regular
290,old_house,house,regular
291,new_house,house,regular
292,old_house,house,regular
293,old_house,house,regular
294,old_house,house,good
295,old_house,house,regular
296,old_house,house,regular
297,new_house,house,regular
298,old_house,house,regular
299,old_house,house,regular
300,old_house,house,regular
301,old_house,house,regular
302,old_house,house,regular
303,new_house,house,regular
304,new_house,house,regular
305,new_house,house,regular
306,new_house,house,regular
307,old_house,house,regular
308,new_house,apartment,regular
309,new_house,house,good
310,new_house,house,good
311,old_house,house,regular
312,old_house,house,good
313,old_house,house,regular
314,old_house,house,regular
315,old_house,house,regular
316,new_house,house,good
317,new_house,house,regular
318,old_house,apartment,regular
319,old_house,house,regular
320,old_house,house,regular
321,old_house,house,regular
322,old_house,house,regular
323,new_house,house,regular
324,old_house,apartment,regular
325,new_house,apartment,regular
326,old_house,house,regular
327,old_house,house,regular
328,new_house,house,bad
329,old_house,house,regular
330,old_house,house,regular
331,new_house,house,regular
332,old_house,house,regular
333,new_house,apartment,regular
334,old_house,house,good
335,old_house,house,regular
336,old_house,house,regular
337,old_house,house,good
338,old_house,house,regular
339,new_house,house,regular
340,new_house,house,regular
341,old_house,house,regular
342,old_house,house,regular
343,old_house,house,regular
344,old_house,house,regular
345,old_house,house,regular
346,old_house,house,regular
347,old_house,apartment,regular
348,old_house,house,regular
349,new_house,house,regular
350,old_house,studio,regular
351,old_house,house,regular
352,new_house,house,regular
353,old_house,apartment,good
354,new_house,house,regular
355,old_house,house,good
356,old_house,house,regular
357,old_house,house,regular
358,old_house,house,regular
359,old_house,house,regular
360,old_house,house,regular
361,old_house,house,regular
362,old_house,house,regular
363,old_house,house,regular
364,old_house,house,regular
365,new_house,house,regular
366,new_house,house,regular
367,old_house,house,regular
368,new_house,house,regular
369,old_house,house,regular
370,old_house,house,regular
371,old_house,house,good
372,new_house,house,good
373,old_house,house,regular
374,old_house,house,regular
375,old_house,house,regular
376,old_house,house,regular
377,old_house,house,regular
378,new_house,house,regular
379,new_house,house,regular
380,old_house,apartment,bad
381,old_house,house,regular
382,new_house,house,regular
383,new_house,house,regular
384,old_house,house,regular
385,old_house,house,regular
386,old_house,house,regular
387,old_house,house,regular
388,old_house,house,regular
389,old_house,house,regular
390,old_house,house,regular
391,old_house,house,regular
392,old_house,house,regular
393,old_house,house,regular
394,old_house,house,regular
395,new_house,apartment,good
396,new_house,house,regular
397,old_house,house,bad
398,old_house,house,regular
399,old_house,house,regular
400,new_house,house,regular
401,old_house,house,regular
402,new_house,apartment,regular
403,new_house,house,regular
404,old_house,house,regular
405,old_house,house,regular
406,old_house,house,regular
407,new_house,house,regular
408,new_house,house,regular
409,old_house,house,regular
410,new_house,house,regular
411,old_house,apartment,regular
412,old_house,house,regular
413,old_house,house,regular
414,new_house,house,regular
415,old_house,house,regular
416,old_house,house,regular
417,new_house,house,good
418,old_house,house,regular
419,old_house,house,regular
420,old_house,apartment,regular
421,old_house,house,good
422,old_house,house,regular
423,new_house,house,regular
424,old_house,apartment,regular
425,new_house,house,good
426,old_house,house,regular
427,new_house,house,regular
428,old_house,house,regular
429,new_house,house,regular
430,old_house,house,regular
431,old_house,house,regular
432,old_house,house,good
433,old_house,house,regular
434,old_house,house,regular
435,old_house,house,regular
436,old_house,house,regular
437,new_house,house,regular
438,old_house,apartment,regular
439,old_house,house,regular
440,old_house,house,good
441,old_house,house,regular
442,old_house,apartment,regular
443,new_house,house,regular
444,old_house,house,regular
445,old_house,house,regular
446,old_house,house,regular
447,new_house,house,regular
448,old_house,house,regular
449,old_house,house,good
450,new_house,house,regular
451,old_house,house,regular
452,new_house,house,regular
453,new_house,house,regular
454,old_house,house,regular
455,old_house,house,regular
456,new_house,house,regular
457,old_house,house,regular
458,old_house,house,good
459,new_house,house,good
460,old_house,house,regular
461,new_house,house,regular
462,old_house,house,regular
463,old_house,house,regular
464,old_house,house,regular
465,old_house,studio,bad
466,old_house,house,regular
467,old_house,house,regular
468,new_house,house,regular
469,new_house,house,regular
470,old_house,apartment,regular
471,new_house,house,regular
472,old_house,house,regular
473,old_house,house,regular
474,old_house,house,regular
475,old_house,house,regular
476,old_house,house,regular
477,old_house,house,regular
478,new_house,apartment,regular
479,old_house,house,regular
480,old_house,house,regular
481,old_house,house,regular
482,new_house,house,regular
483,old_house,house,regular
484,new_house,house,regular
485,new_house,house,regular
486,old_house,house,regular
487,old_house,apartment,regular
488,old_house,house,regular
489,new_house,house,regular
490,old_house,house,regular
491,new_house,house,regular
492,new_house,house,good
493,old_house,house,regular
494,old_house,house,regular
495,old_house,apartment,regular
496,new_house,house,regular
497,old_house,house,regular
498,old_house,apartment,regular
499,old_house,house,regular
500,new_house,house,regular
501,old_house,apartment,regular
502,old_house,house,regular
503,old_house,house,regular
504,new_house,house,regular
505,old_house,apartment,regular
506,old_house,house,regular
507,new_house,house,regular
508,old_house,apartment,regular
509,old_house,house,regular
510,new_house,house,regular
511,new_house,house,regular
512,old_house,house,regular
513,old_house,house,regular
514,old_house,house,good
515,new_house,apartment,regular
516,old_house,house,regular
517,new_house,house,regular
518,old_house,house,good
519,old_house,house,regular
520,new_house,house,good
521,old_house,apartment,regular
522,new_house,house,regular
523,old_house,house,regular
524,old_house,apartment,regular
525,old_house,apartment,regular
526,old_house,house,regular
527,old_house,house,regular
528,old_house,house,regular
529,old_house,house,regular
530,new_house,house,regular
531,new_house,apartment,regular
532,new_house,house,regular
533,old_house,house,regular
534,new_house,house,regular
535,new_house,house,regular
536,new_house,house,regular
537,old_house,apartment,regular
538,new_house,house,regular
539,new_house,house,regular
540,new_house,house,regular
541,old_house,house,regular
542,old_house,house,regular
543,old_house,house,regular
544,old_house,house,regular
545,new_house,house,regular
546,old_house,house,regular
547,new_house,apartment,regular
548,old_house,house,regular
549,old_house,apartment,regular
550,old_house,house,regular
551,old_house,house,good
552,new_house,house,regular
553,old_house,apartment,regular
554,old_house,house,good
555,old_house,house,regular
556,old_house,house,regular
557,old_house,house,regular
558,new_house,house,regular
559,old_house,house,regular
560,old_house,house,regular
561,old_house,house,regular
562,old_house,house,regular
563,old_house,house,regular
564,old_house,house,regular
565,old_house,house,regular
566,old_house,house,regular
567,old_house,house,good
568,old_house,house,regular
569,old_house,apartment,regular
570,old_house,house,regular
571,new_house,house,regular
572,new_house,house,regular
573,old_house,house,good
574,new_house,house,regular
575,old_house,apartment,regular
576,old_house,house,regular
577,old_house,house,regular
578,new_house,house,regular
579,old_house,house,regular
580,old_house,house,regular
581,old_house,house,regular
582,old_house,apartment,regular
583,old_house,house,regular
584,old_house,house,regular
585,old_house,house,regular
586,old_house,house,regular
587,old_house,house,regular
588,old_house,house,regular
589,new_house,house,good
590,old_house,house,regular
591,old_house,house,regular
592,new_house,house,regular
593,old_house,house,regular
594,new_house,house,regular
595,old_house,house,regular
596,old_house,apartment,regular
597,old_house,house,regular
598,old_house,house,regular
599,old_house,house,regular
600,old_house,apartment,regular
601,new_house,house,regular
602,old_house,house,regular
603,old_house,house,regular
604,new_house,house,regular
605,new_house,house,good
606,old_house,apartment,regular
607,new_house,apartment,regular
608,old_house,house,regular
609,new_house,house,regular
610,old_house,apartment,regular
611,old_house,house,regular
612,old_house,house,regular
613,old_house,house,regular
614,old_house,house,regular
615,new_house,house,regular
616,new_house,house,regular
617,old_house,house,regular
618,new_house,house,regular
619,old_house,house,regular
620,new_house,house,regular
621,old_house,house,regular
622,old_house,house,regular
623,new_house,apartment,regular
624,old_house,house,regular
625,old_house,house,regular
626,old_house,house,regular
627,new_house,house,regular
628,old_house,house,regular
629,old_house,house,regular
630,old_house,house,good
631,old_house,apartment,regular
632,old_house,house,good
633,old_house,house,regular
634,old_house,apartment,regular
635,old_house,house,regular
636,old_house,house,regular
637,new_house,house,good
638,old_house,house,regular
639,new_house,house,good
640,new_house,apartment,regular
641,old_house,house,regular
642,new_house,house,regular
643,new_house,house,regular
644,old_house,house,regular
645,new_house,house,regular
646,new_house,house,regular
647,old_house,house,regular
648,old_house,studio,regular
649,new_house,house,regular
650,old_house,house,regular
651,old_house,house,regular
652,old_house,house,regular
653,new_house,house,regular
654,old_house,house,regular
655,new_house,house,regular
656,old_house,house,regular
657,old_house,house,regular
658,new_house,house,regular
659,old_house,house,regular
660,new_house,house,regular
661,old_house,house,regular
662,new_house,house,regular
663,old_house,house,regular
664,old_house,house,regular
665,old_house,house,regular
666,old_house,house,regular
667,old_house,house,regular
668,old_house,house,regular
669,old_house,house,good
670,old_house,house,regular
671,old_house,house,regular
672,new_house,house,good
673,old_house,house,regular
674,old_house,house,regular
675,old_house,house,regular
676,old_house,apartment,regular
677,new_house,apartment,regular
678,old_house,house,regular
679,old_house,house,regular
680,old_house,house,regular
681,old_house,house,regular
682,old_house,house,regular
683,old_house,house,regular
684,old_house,house,regular
685,new_house,house,regular
686,old_house,house,regular
687,new_house,house,regular
688,old_house,house,regular
689,new_house,house,regular
690,old_house,house,regular
691,old_house,house,good
692,old_house,house,regular
693,new_house,apartment,regular
694,old_house,house,regular
695,old_house,house,regular
696,old_house,house,good
697,old_house,house,regular
698,old_house,house,regular
699,old_house,house,regular
700,new_house,apartment,regular
701,new_house,apartment,regular
702,old_house,house,bad
703,old_house,house,regular
704,old_house,apartment,regular
705,old_house,apartment,regular
706,new_house,house,regular
707,old_house,house,regular
708,old_house,house,good
709,old_house,house,regular
710,old_house,house,regular
711,old_house,house,regular
712,old_house,house,regular
713,old_house,house,regular
714,new_house,house,regular
715,old_house,house,good
716,old_house,house,good
717,old_house,house,regular
718,new_house,house,regular
719,new_house,house,regular
720,old_house,house,regular
721,old_house,apartment,good
722,old_house,house,regular
723,new_house,house,regular
724,old_house,house,regular
725,old_house,house,good
726,old_house,apartment,regular
727,old_house,apartment,regular
728,old_house,house,regular
729,old_house,house,regular
730,old_house,house,good
731,old_house,house,regular
732,old_house,house,regular
733,old_house,house,regular
734,new_house,house,regular
735,old_house,house,regular
736,new_house,house,regular
737,old_house,house,regular
738,old_house,house,regular
739,old_house,house,regular
740,old_house,house,regular
741,old_house,apartment,regular
742,old_house,house,regular
743,old_house,house,regular
744,old_house,house,regular
745,new_house,house,regular
746,old_house,house,regular
747,old_house,house,regular
748,new_house,house,regular
749,old_house,house,regular
750,new_house,house,regular
751,old_house,house,good
752,old_house,house,good
753,old_house,apartment,regular
754,old_house,house,good
755,old_house,house,regular
756,old_house,house,regular
757,new_house,apartment,regular
758,new_house,house,regular
759,old_house,house,regular
760,old_house,house,regular
761,old_house,house,regular
762,new_house,house,regular
763,new_house,house,regular
764,old_house,house,good
765,old_house,house,regular
766,new_house,house,regular
767,old_house,house,good
768,new_house,house,good
769,old_house,house,regular
770,old_house,house,regular
771,old_house,house,regular
772,old_house,house,regular
773,old_house,apartment,regular
774,new_house,house,regular
775,old_house,house,regular
776,old_house,house,regular
777,old_house,house,regular
778,old_house,house,regular
779,old_house,house,good
780,new_house,house,good
781,old_house,house,good
782,old_house,house,regular
783,new_house,house,regular
784,old_house,house,regular
785,new_house,house,regular
786,new_house,apartment,regular
787,old_house,house,regular
788,old_house,house,regular
789,old_house,house,regular
790,old_house,house,regular
791,old_house,house,regular
792,old_house,house,regular
793,old_house,house,regular
794,new_house,apartment,regular
795,old_house,house,regular
796,old_house,house,regular
797,old_house,house,good
798,old_house,house,regular
799,new_house,house,regular
800,old_house,house,regular
801,old_house,house,good
802,new_house,house,regular
803,new_house,house,regular
804,old_house,house,regular
805,new_house,house,regular
806,old_house,house,regular
807,old_house,house,good
808,old_house,house,regular
809,old_house,house,regular
810,new_house,house,regular
811,old_house,apartment,regular
812,new_house,house,regular
813,old_house,house,regular
814,new_house,house,regular
815,old_house,house,regular
816,old_house,house,regular
817,new_house,apartment,regular
818,old_house,house,regular
819,old_house,house,regular
820,old_house,house,regular
821,old_house,house,regular
822,old_house,house,good
823,old_house,house,regular
824,new_house,house,regular
825,old_house,house,regular
826,new_house,house,good
827,old_house,house,regular
828,old_house,house,regular
829,new_house,house,regular
830,new_house,house,regular
831,old_house,house,regular
832,old_house,house,regular
833,old_house,house,regular
834,old_house,house,regular
835,new_house,house,regular
836,old_house,apartment,regular
837,new_house,apartment,regular
838,old_house,house,regular
839,new_house,house,regular
840,old_house,house,regular
841,old_house,house,regular
842,old_house,house,regular
843,new_house,house,regular
844,old_house,house,regular
845,old_house,house,regular
846,old_house,house,regular
847,old_house,house,regular
848,new_house,house,regular
849,old_house,house,regular
850,old_house,house,regular
851,old_house,house,regular
852,old_house,house,regular
853,old_house,house,regular
854,old_house,house,regular
855,old_house,house,regular
856,old_house,house,regular
857,new_house,house,regular
858,old_house,house,good
859,old_house,house,regular
860,old_house,studio,regular
861,new_house,house,regular
862,old_house,house,regular
863,new_house,house,regular
864,old_house,house,regular
865,new_house,house,regular
866,new_house,house,regular
867,old_house,house,regular
868,old_house,apartment,regular
869,new_house,house,regular
870,new_house,house,regular
871,old_house,house,regular
872,new_house,house,good
873,new_house,house,regular
874,old_house,house,regular
875,old_house,house,regular
876,new_house,house,regular
877,old_house,house,regular
878,old_house,house,regular
879,old_house,house,regular
880,old_house,house,regular
881,new_house,house,bad
882,old_house,house,regular
883,old_house,house,good
884,old_house,house,good
885,old_house,house,regular
886,old_house,house,regular
887,old_house,apartment,regular
888,old_house,house,regular
889,old_house,house,regular
890,old_house,house,regular
891,old_house,house,regular
892,old_house,house,regular
893,old_house,apartment,regular
894,old_house,house,regular
895,old_house,house,regular
896,old_house,house,regular
897,old_house,house,regular
898,new_house,house,regular
899,new_house,house,regular
900,old_house,house,regular
901,old_house,house,regular
902,old_house,house,regular
903,old_house,studio,regular
904,new_house,house,regular
905,old_house,house,good
906,new_house,house,regular
907,old_house,house,good
908,old_house,house,good
909,old_house,house,regular
910,old_house,house,regular
911,old_house,house,regular
912,old_house,house,regular
913,old_house,house,regular
914,old_house,house,regular
915,old_house,house,regular
916,old_house,house,regular
917,old_house,house,regular
918,old_house,apartment,regular
919,old_house,house,good
920,old_house,house,regular
921,new_house,house,regular
922,new_house,house,regular
923,old_house,house,regular
924,old_house,house,regular
925,old_house,house,regular
926,old_house,house,regular
927,new_house,house,regular
928,new_house,apartment,regular
929,old_house,house,regular
930,old_house,house,regular
931,new_house,house,regular
932,new_house,house,regular
933,new_house,house,regular
934,old_house,house,good
935,new_house,house,regular
936,new_house,house,regular
937,old_house,apartment,regular
938,old_house,house,regular
939,new_house,house,regular
940,new_house,house,regular
941,old_house,apartment,regular
942,old_house,house,good
943,old_house,house,regular
944,old_house,house,good
945,new_house,house,regular
946,new_house,house,regular
947,new_house,house,regular
948,new_house,house,regular
949,old_house,house,regular
950,new_house,house,regular
951,new_house,house,regular
952,old_house,house,regular
953,old_house,house,regular
954,new_house,house,regular
955,old_house,house,regular
956,new_house,house,regular
957,old_house,house,regular
958,old_house,house,good
959,old_house,house,regular
960,old_house,house,good
961,new_house,house,regular
962,old_house,apartment,regular
963,old_house,house,good
964,old_house,house,regular
965,old_house,house,regular
966,old_house,house,regular
967,old_house,house,regular
968,old_house,house,regular
969,old_house,house,regular
970,old_house,house,regular
971,new_house,house,regular
972,new_house,house,regular
973,old_house,house,regular
974,old_house,house,regular
975,old_house,house,regular
976,old_house,house,regular
977,new_house,house,regular
978,new_house,house,regular
979,new_house,house,regular
980,new_house,house,regular
981,new_house,house,regular
982,new_house,apartment,regular
983,old_house,apartment,regular
984,old_house,apartment,regular
985,old_house,house,regular
986,old_house,house,regular
987,old_house,house,regular
988,new_house,house,regular
989,new_house,house,regular
990,old_house,house,regular
991,new_house,house,regular
992,new_house,house,regular
993,new_house,house,regular
994,old_house,apartment,regular
995,old_house,house,regular
996,old_house,apartment,regular
997,old_house,apartment,regular
998,new_house,apartment,regular
999,old_house,house,regular
1000,new_house,house,regular
1001,old_house,house,regular
1002,old_house,house,regular
1003,old_house,house,regular
1004,old_house,house,regular
1005,new_house,house,regular
1006,old_house,house,regular
1007,old_house,house,regular
1008,new_house,house,regular
1009,old_house,apartment,regular
1010,old_house,house,good
1011,old_house,house,regular
1012,old_house,house,regular
1013,old_house,house,regular
1014,old_house,apartment,regular
1015,old_house,house,regular
1016,new_house,house,regular
1017,old_house,house,regular
1018,old_house,house,good
1019,new_house,house,regular
1020,old_house,house,regular
1021,new_house,house,regular
1022,old_house,house,regular
1023,old_house,house,regular
1024,old_house,house,good
1025,old_house,house,regular
1026,old_house,apartment,bad
1027,new_house,house,regular
1028,old_house,house,regular
1029,new_house,apartment,regular
1030,old_house,house,regular
1031,new_house,house,regular
1032,new_house,apartment,regular
1033,old_house,house,good
1034,old_house,house,regular
1035,old_house,house,regular
1036,new_house,house,regular
1037,new_house,house,regular
1038,new_house,house,regular
1039,new_house,house,regular
1040,new_house,apartment,regular
1041,old_house,house,regular
1042,old_house,house,regular
1043,new_house,apartment,regular
1044,old_house,house,regular
1045,new_house,house,regular
1046,new_house,house,regular
1047,old_house,apartment,regular
1048,old_house,house,regular
1049,old_house,house,regular
1050,old_house,house,regular
1051,old_house,house,regular
1052,old_house,house,regular
1053,old_house,house,regular
1054,old_house,house,regular
1055,new_house,house,regular
1056,new_house,house,regular
1057,old_house,house,regular
1058,old_house,house,regular
1059,new_house,house,regular
1060,old_house,apartment,regular
1061,old_house,house,regular
1062,old_house,house,regular
1063,old_house,house,regular
1064,old_house,house,regular
1065,new_house,house,regular
1066,old_house,studio,regular
1067,old_house,house,regular
1068,old_house,house,regular
1069,old_house,apartment,regular
1070,new_house,house,regular
1071,old_house,house,regular
1072,new_house,house,regular
1073,new_house,house,regular
1074,new_house,apartment,regular
1075,new_house,house,regular
1076,new_house,house,good
1077,old_house,apartment,regular
1078,new_house,house,regular
1079,new_house,house,regular
1080,old_house,house,regular
1081,old_house,apartment,regular
1082,old_house,house,regular
1083,new_house,house,regular
1084,old_house,house,regular
1085,old_house,house,good
1086,new_house,house,good
1087,old_house,house,regular
1088,new_house,house,regular
1089,new_house,house,regular
1090,old_house,house,regular
1091,new_house,house,regular
1092,new_house,house,regular
1093,old_house,house,regular
1094,old_house,house,regular
1095,new_house,house,regular
1096,old_house,house,regular
1097,new_house,apartment,regular
1098,new_house,apartment,regular
1099,old_house,apartment,regular
1100,old_house,house,regular
1101,old_house,house,regular
1102,old_house,apartment,regular
1103,new_house,house,regular
1104,new_house,house,regular
1105,new_house,house,regular
1106,old_house,house,regular
1107,old_house,apartment,regular
1108,new_house,house,regular
1109,new_house,house,regular
1110,old_house,house,regular
1111,new_house,apartment,regular
1112,new_house,house,regular
1113,old_house,house,good
1114,old_house,house,regular
1115,new_house,house,regular
1116,old_house,apartment,regular
1117,new_house,house,regular
1118,old_house,house,regular
1119,new_house,house,regular
1120,old_house,house,regular
1121,new_house,house,regular
1122,old_house,house,regular
1123,old_house,house,regular
1124,new_house,house,regular
1125,old_house,house,regular
1126,old_house,house,regular
1127,old_house,apartment,regular
1128,old_house,house,regular
1129,new_house,house,regular
1130,new_house,house,regular
1131,new_house,house,regular
1132,old_house,house,regular
1133,old_house,house,regular
1134,new_house,house,regular
1135,new_house,house,regular
1136,old_house,house,regular
1137,new_house,house,good
1138,old_house,apartment,regular
1139,old_house,house,regular
1140,old_house,house,good
1141,new_house,house,regular
1142,new_house,house,regular
1143,old_house,house,regular
1144,old_house,house,good
1145,old_house,house,good
1146,old_house,house,regular
1147,old_house,house,regular
1148,old_house,house,good
1149,new_house,studio,regular
1150,new_house,apartment,regular
1151,new_house,house,regular
1152,new_house,house,regular
1153,new_house,house,regular
1154,new_house,house,regular
1155,old_house,apartment,regular
1156,old_house,house,regular
1157,old_house,house,regular
1158,old_house,house,regular
1159,old_house,house,regular
1160,old_house,house,good
1161,old_house,house,regular
1162,old_house,house,regular
1163,old_house,house,regular
1164,old_house,house,regular
1165,old_house,house,regular
1166,new_house,house,regular
1167,old_house,house,regular
1168,old_house,apartment,regular
1169,old_house,house,good
1170,new_house,house,good
1171,old_house,house,regular
1172,old_house,house,regular
1173,new_house,house,regular
1174,old_house,house,regular
1175,old_house,house,regular
1176,old_house,house,regular
1177,new_house,apartment,regular
1178,new_house,house,regular
1179,old_house,house,regular
1180,old_house,house,regular
1181,old_house,house,regular
1182,old_house,house,regular
1183,old_house,house,regular
1184,old_house,house,good
1185,old_house,house,regular
1186,old_house,house,regular
1187,old_house,apartment,regular
1188,old_house,apartment,regular
1189,new_house,house,regular
1190,old_house,house,regular
1191,old_house,house,regular
1192,old_house,apartment,regular
1193,old_house,house,regular
1194,new_house,apartment,regular
1195,old_house,house,regular
1196,old_house,house,regular
1197,old_house,house,regular
1198,old_house,apartment,regular
1199,old_house,house,regular
1200,old_house,house,regular
1201,old_house,house,regular
1202,old_house,house,regular
1203,new_house,house,regular
1204,old_house,house,regular
1205,old_house,house,regular
1206,old_house,house,regular
1207,old_house,house,good
1208,old_house,house,regular
1209,new_house,house,regular
1210,old_house,house,regular
1211,old_house,house,regular
1212,old_house,house,regular
1213,new_house,house,regular
1214,old_house,house,regular
1215,old_house,house,regular
1216,new_house,house,regular
1217,old_house,house,regular
1218,old_house,apartment,regular
1219,old_house,house,regular
1220,old_house,house,regular
1221,new_house,house,regular
1222,new_house,house,regular
1223,old_house,house,regular
1224,old_house,house,regular
1225,new_house,house,regular
1226,new_house,house,regular
1227,old_house,house,regular
1228,new_house,house,regular
1229,old_house,house,regular
1230,old_house,house,regular
